******************ready_q****************************
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 3)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 2)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 7.0, 'io : ', 4, 'ratio : ', 1.1428571428571428)
('id : ', 6469, 'cpu :', 6.0, 'io : ', 3, 'ratio : ', 3.1666666666666665)
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 3.0)
('id : ', 6468, 'cpu :', 7.0, 'io : ', 5, 'ratio : ', 2.857142857142857)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 3.6)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 3)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 4)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 4)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 3)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 1.1666666666666667)
('id : ', 6469, 'cpu :', 6.0, 'io : ', 3, 'ratio : ', 3.3333333333333335)
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 3.1666666666666665)
('id : ', 6468, 'cpu :', 7.0, 'io : ', 5, 'ratio : ', 3.0)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 3.8)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 4)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 4)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 4)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 3)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 5.0, 'io : ', 4, 'ratio : ', 1.2)
('id : ', 6469, 'cpu :', 6.0, 'io : ', 3, 'ratio : ', 3.5)
