******************ready_q****************************
******************wait_q****************************
('id : ', 6386, 'cpu :', 0.0, 'io :', 3.0)
('id : ', 6387, 'cpu :', 0.0, 'io :', 6)



******************ready_q****************************
('id : ', 6388, 'cpu :', 3.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 59)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 59)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 59)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 59)
('id : ', 6383, 'cpu :', 11, 'io : ', 11, 'wait_time : ', 42)
('id : ', 6384, 'cpu :', 13, 'io : ', 3, 'wait_time : ', 27)
('id : ', 6385, 'cpu :', 12, 'io : ', 8, 'wait_time : ', 13)
